781.997	873.999	954	84.51666667
776.003	872.001	956	87.69
776.002	867.999	949.999	84.63333333
786.997	884	968	89.17333333
782.999	877	960	86.75
786.999	882.001	966.001	87.68666667
775	868.999	958.001	87.07
785.001	880	967.999	88
782.998	878	965.001	88.04333333
786.001	879.001	965.001	86.62
781.999	876.001	963	87.68
779.999	877.999	968.999	90.76
789.002	883	967.999	86.16
779	874	961.001	88.34333333
784.999	881	966.999	87.95666667
788.998	881.999	972	87.12
786.001	849	881	89.05
783.998	846.001	880	91.29333333
783.999	846	868	90.19
782.002	845	961	87.19666667
775.002	841	862	83.63666667
787.999	879	852	86.81333333
776.003	870	840	87.88
787.997	879	964	85.19
787	890	998.507	92
787.003	882.999	989	86.69333333
780.998	875.999	960.999	87.71333333
782.001	875.001	959	86.72
788.003	885	971.999	88.75333333
785.999	876.999	960	84.45333333
785.001	878.999	965.999	86.50333333
780.997	875.999	964	88.22333333
782.001	875.999	955	85.82666667
781.002	880	967	92.28
788.997	883.001	967	87.89333333
782.002	880.999	971	89.72333333
784.003	885.999	979	93.89
777.002	875.999	962	90.98666667
784.003	880	967.999	88.5
782.997	880.001	971	89.91333333
787.002	882	966.001	87.10333333
780.999	876.001	992	90.43333333
777.999	873.001	958	88.61
785.001	881.001	969	88.47
784.001	880	971	89.55333333
778.998	876	965	89.73333333
782.998	878.001	984	89.48
789.002	884	973.001	91.36333333
779	872.999	956	87.96333333
776.001	874.999	842	90.38
773	869.999	958	90.78333333
775.001	870	947	90.21333333
776.999	871	955	88.67
778.002	875.999	961	91.88333333
776.999	868.999	953	86
777.999	873	966	90.10666667
780.998	879.999	972	91.77
777	873	958	88.24333333
786.997	884	974	91.43
778.002	874	962	89.37
783	878	965	89.60333333
783.998	877	964	87.67666667
779.998	875	962	88.42666667
787.999	881.001	969.001	89.26333333
